Date,SPX Volume,SPX Price
2018-02-12,4055790000,2656.0000
2018-02-13,3472870000,2662.9399
2018-02-14,4003740000,2698.6299
2018-02-15,3684910000,2731.2000
2018-02-16,3637460000,2732.2200
2018-02-20,3627610000,2716.2600
2018-02-21,3779400000,2701.3301
2018-02-22,3701270000,2703.9600
2018-02-23,3189190000,2747.3000
2018-02-26,3424650000,2779.6001
2018-02-27,3745080000,2744.2800
2018-02-28,4230660000,2713.8301
2018-03-01,4503970000,2677.6699
2018-03-02,3882450000,2691.2500
2018-03-05,3710810000,2720.9399
2018-03-06,3370690000,2728.1201
2018-03-07,3393270000,2726.8000
2018-03-08,3212320000,2738.9700
2018-03-09,3364100000,2786.5701
2018-03-12,3185020000,2783.0200
2018-03-13,3301650000,2765.3101
2018-03-14,1565631792,2748.5801
