Date,TextBlob,Vader
2017-10-27,0.004,0.036
2017-10-28,0.267,0.334
2017-10-29,0.392,0.439
2017-10-30,0.084,0.089
2017-10-31,0.091,0.044
2017-11-01,0.062,0.132
2017-11-02,0.079,0.096
2017-11-03,0.114,0.138
2017-11-04,0.393,0.498
2017-11-05,0.039,0.000
2017-11-06,0.039,0.053
2017-11-07,0.035,0.095
2017-11-08,0.115,0.080
2017-11-09,0.073,-0.011
2017-11-10,0.092,0.047
2017-11-11,0.137,0.271
2017-11-12,0.067,0.142
2017-11-13,0.141,0.126
2017-11-14,0.092,0.054
2017-11-15,0.131,0.152
2017-11-16,0.057,0.091
2017-11-17,0.072,0.196
2017-11-18,0.016,0.000
2017-11-19,0.075,0.260
2017-11-20,0.053,0.055
2017-11-21,0.157,0.019
2017-11-22,0.092,0.085
2017-11-23,0.133,0.272
2017-11-24,0.053,0.268
2017-11-25,0.225,0.316
2017-11-26,0.100,0.181
2017-11-27,0.151,0.252
2017-11-28,0.130,0.231
2017-11-29,-0.026,0.019
2017-11-30,0.127,0.186
2017-12-01,0.122,0.204
2017-12-02,0.385,0.454
2017-12-03,0.250,0.281
2017-12-04,0.111,0.115
2017-12-05,0.127,0.211
2017-12-06,0.118,0.267
2017-12-07,0.112,0.217
2017-12-08,0.148,0.247
2017-12-09,0.392,0.881
2017-12-10,0.277,0.393
2017-12-11,0.207,0.271
2017-12-12,0.072,0.147
2017-12-13,0.045,0.048
2017-12-14,0.077,0.185
2017-12-15,0.110,0.261
2017-12-16,0.127,0.446
2017-12-17,0.167,0.531
2017-12-18,0.134,0.421
2017-12-19,0.156,0.113
2017-12-20,0.212,0.317
2017-12-21,0.056,0.216
2017-12-22,0.129,0.176
2017-12-23,0.365,0.541
2017-12-24,0.274,0.595
2017-12-25,0.667,0.778
2017-12-26,0.095,0.138
2017-12-27,0.106,0.032
2017-12-28,0.141,0.191
2017-12-29,0.107,0.201
2017-12-30,0.208,0.411
2017-12-31,0.346,0.715
2018-01-01,0.226,0.265
2018-01-02,0.135,0.174
2018-01-03,0.095,0.227
2018-01-04,0.071,0.155
2018-01-05,0.091,0.264
2018-01-06,0.220,0.339
2018-01-07,0.091,0.424
2018-01-08,0.114,0.072
2018-01-09,0.179,0.329
2018-01-10,0.035,-0.057
2018-01-11,0.097,0.052
2018-01-12,0.087,0.198
2018-01-14,0.215,0.321
2018-01-15,0.127,0.221
2018-01-16,0.085,0.122
2018-01-17,0.060,0.253
2018-01-18,0.084,0.155
2018-01-19,0.070,0.116
2018-01-20,0.125,0.756
2018-01-21,0.084,0.480
2018-01-22,0.112,0.190
2018-01-23,0.112,0.241
2018-01-24,0.080,0.189
2018-01-25,0.115,0.163
2018-01-26,0.088,0.142
2018-01-27,0.163,0.243
2018-01-28,0.136,0.165
2018-01-29,0.098,0.167
2018-01-30,0.049,0.115
2018-01-31,0.086,0.125
2018-02-01,0.045,0.176
2018-02-02,0.183,0.212
2018-02-03,0.268,0.575
2018-02-04,0.147,0.280
2018-02-05,0.172,0.097
2018-02-06,0.099,0.189
2018-02-07,0.090,0.109
2018-02-08,0.017,0.105
2018-02-09,0.128,0.160
2018-02-10,0.043,0.130
2018-02-11,0.091,0.354
2018-02-12,0.143,0.278
2018-02-13,0.104,0.257
2018-02-14,0.030,0.067
2018-02-15,0.118,0.111
2018-02-16,0.119,0.151
2018-02-17,0.164,0.335
2018-02-18,0.252,0.355
2018-02-19,0.458,0.421
2018-02-20,0.084,0.155
2018-02-21,0.095,0.176
2018-02-22,0.107,0.133
2018-02-23,0.070,0.077
2018-02-24,0.267,0.051
2018-02-25,0.179,0.217
2018-02-26,0.077,0.224
2018-02-27,0.089,0.117
2018-02-28,0.149,0.149
2018-03-01,0.120,0.002
2018-03-02,0.103,-0.041
2018-03-03,0.045,0.299
2018-03-04,0.192,-0.199
2018-03-05,0.164,0.266
2018-03-06,0.171,0.245
2018-03-07,0.109,0.233
2018-03-08,0.165,0.165
2018-03-09,0.168,0.196
2018-03-10,0.000,0.309
2018-03-11,0.000,0.000
2018-03-12,0.115,0.114
2018-03-13,0.006,0.113
2018-03-14,0.191,0.334
