Date,DJI Volume,DJI Price
2018-02-12,496610000,24601.2695
2018-02-13,374410000,24640.4492
2018-02-14,431160000,24893.4902
2018-02-15,416780000,25200.3691
2018-02-16,406730000,25219.3809
2018-02-20,421510000,24964.7500
2018-02-21,456070000,24797.7793
2018-02-22,378900000,24962.4805
2018-02-23,335420000,25309.9902
2018-02-26,473360000,25709.2695
2018-02-27,438390000,25410.0293
2018-02-28,451870000,25029.1992
2018-03-01,506280000,24608.9805
2018-03-02,437130000,24538.0605
2018-03-05,383910000,24874.7598
2018-03-06,331770000,24884.1191
2018-03-07,394070000,24801.3594
2018-03-08,327300000,24895.2109
2018-03-09,371570000,25335.7402
2018-03-12,362580000,25178.6094
2018-03-13,447880000,25007.0293
2018-03-14,87932629,24944.9609
